INSERT INTO Booking VALUES ('B0001', '12-JAN-2018', 3, 'PAID', 170.00, 'I0001', 'T0005');
INSERT INTO Booking VALUES ('B0002', '15-JAN-2018', 6, 'CANCELED', 170.00, 'I0005', 'T0023');
INSERT INTO Booking VALUES ('B0003', '16-JAN-2018', 1, 'PAID', 130.00, 'I0002', 'T0002');
INSERT INTO Booking VALUES ('B0004', '28-JAN-2018', 7, 'FAILED', 180.00, 'I0005', 'T0022');
INSERT INTO Booking VALUES ('B0005', '07-FEB-2018', 2, 'PAID', 160.00, 'I0007', 'T0022');
INSERT INTO Booking VALUES ('B0006', '09-FEB-2018', 5, 'FAILED', 200.00, 'I0009', 'T0012');
INSERT INTO Booking VALUES ('B0007', '11-FEB-2018', 5, 'REFUNDED', 140.00, 'I0005', 'T0026');
INSERT INTO Booking VALUES ('B0008', '13-FEB-2018', 5, 'CANCELED', 150.00, 'I0005', 'T0004');
INSERT INTO Booking VALUES ('B0009', '21-FEB-2018', 5, 'CANCELED', 130.00, 'I0005', 'T0018');
INSERT INTO Booking VALUES ('B0010', '05-MAR-2018', 2, 'REFUNDED', 170.00, 'I0002', 'T0024');
INSERT INTO Booking VALUES ('B0011', '06-MAR-2018', 7, 'PENDING PAYMENT', 120.00, 'I0003', 'T0021');
INSERT INTO Booking VALUES ('B0012', '16-MAR-2018', 6, 'PAID', 110.00, 'I0009', 'T0005');
INSERT INTO Booking VALUES ('B0013', '21-MAR-2018', 1, 'REFUNDED', 120.00, 'I0001', 'T0011');
INSERT INTO Booking VALUES ('B0014', '24-MAR-2018', 5, 'CANCELED', 150.00, 'I0004', 'T0010');
INSERT INTO Booking VALUES ('B0015', '02-APR-2018', 3, 'PENDING PAYMENT', 150.00, 'I0007', 'T0017');
INSERT INTO Booking VALUES ('B0016', '11-APR-2018', 7, 'REFUNDED', 140.00, 'I0004', 'T0027');
INSERT INTO Booking VALUES ('B0017', '19-APR-2018', 1, 'PAID', 140.00, 'I0002', 'T0010');
INSERT INTO Booking VALUES ('B0018', '23-APR-2018', 4, 'CANCELED', 170.00, 'I0001', 'T0025');
INSERT INTO Booking VALUES ('B0019', '03-MAY-2018', 5, 'FAILED', 170.00, 'I0006', 'T0012');
INSERT INTO Booking VALUES ('B0020', '03-MAY-2018', 7, 'REFUNDED', 140.00, 'I0004', 'T0018');
INSERT INTO Booking VALUES ('B0021', '04-MAY-2018', 2, 'PENDING PAYMENT', 130.00, 'I0007', 'T0012');
INSERT INTO Booking VALUES ('B0022', '04-MAY-2018', 3, 'REFUNDED', 140.00, 'I0003', 'T0012');
INSERT INTO Booking VALUES ('B0023', '10-MAY-2018', 1, 'REFUNDED', 200.00, 'I0001', 'T0017');
INSERT INTO Booking VALUES ('B0024', '17-MAY-2018', 3, 'PAID', 100.00, 'I0008', 'T0008');
INSERT INTO Booking VALUES ('B0025', '22-MAY-2018', 4, 'REFUNDED', 200.00, 'I0009', 'T0020');
INSERT INTO Booking VALUES ('B0026', '24-MAY-2018', 7, 'FAILED', 110.00, 'I0001', 'T0027');
INSERT INTO Booking VALUES ('B0027', '24-MAY-2018', 4, 'FAILED', 180.00, 'I0006', 'T0013');
INSERT INTO Booking VALUES ('B0028', '05-JUN-2018', 3, 'PAID', 170.00, 'I0004', 'T0009');
INSERT INTO Booking VALUES ('B0029', '07-JUN-2018', 3, 'PENDING PAYMENT', 120.00, 'I0007', 'T0002');
INSERT INTO Booking VALUES ('B0030', '13-JUN-2018', 6, 'FAILED', 100.00, 'I0010', 'T0019');
INSERT INTO Booking VALUES ('B0031', '14-JUN-2018', 2, 'REFUNDED', 170.00, 'I0010', 'T0024');
INSERT INTO Booking VALUES ('B0032', '14-JUN-2018', 5, 'CANCELED', 200.00, 'I0008', 'T0008');
INSERT INTO Booking VALUES ('B0033', '17-JUN-2018', 3, 'CANCELED', 200.00, 'I0002', 'T0018');
INSERT INTO Booking VALUES ('B0034', '02-JUL-2018', 1, 'REFUNDED', 140.00, 'I0007', 'T0030');
INSERT INTO Booking VALUES ('B0035', '07-JUL-2018', 1, 'REFUNDED', 160.00, 'I0007', 'T0020');
INSERT INTO Booking VALUES ('B0036', '21-JUL-2018', 6, 'CANCELED', 170.00, 'I0010', 'T0025');
INSERT INTO Booking VALUES ('B0037', '21-JUL-2018', 6, 'PENDING PAYMENT', 190.00, 'I0004', 'T0004');
INSERT INTO Booking VALUES ('B0038', '25-JUL-2018', 4, 'CANCELED', 150.00, 'I0001', 'T0009');
INSERT INTO Booking VALUES ('B0039', '25-JUL-2018', 2, 'FAILED', 190.00, 'I0002', 'T0009');
INSERT INTO Booking VALUES ('B0040', '01-AUG-2018', 1, 'PAID', 130.00, 'I0003', 'T0013');
INSERT INTO Booking VALUES ('B0041', '09-AUG-2018', 4, 'REFUNDED', 150.00, 'I0008', 'T0011');
INSERT INTO Booking VALUES ('B0042', '09-AUG-2018', 3, 'CANCELED', 200.00, 'I0002', 'T0017');
INSERT INTO Booking VALUES ('B0043', '11-AUG-2018', 1, 'PENDING PAYMENT', 160.00, 'I0007', 'T0019');
INSERT INTO Booking VALUES ('B0044', '16-AUG-2018', 3, 'CANCELED', 170.00, 'I0003', 'T0020');
INSERT INTO Booking VALUES ('B0045', '27-AUG-2018', 2, 'CANCELED', 100.00, 'I0002', 'T0003');
INSERT INTO Booking VALUES ('B0046', '01-SEP-2018', 3, 'FAILED', 140.00, 'I0010', 'T0023');
INSERT INTO Booking VALUES ('B0047', '06-SEP-2018', 3, 'PENDING PAYMENT', 180.00, 'I0010', 'T0004');
INSERT INTO Booking VALUES ('B0048', '12-SEP-2018', 2, 'REFUNDED', 180.00, 'I0004', 'T0016');
INSERT INTO Booking VALUES ('B0049', '14-SEP-2018', 7, 'PENDING PAYMENT', 160.00, 'I0007', 'T0029');
INSERT INTO Booking VALUES ('B0050', '21-SEP-2018', 5, 'PAID', 130.00, 'I0005', 'T0030');
INSERT INTO Booking VALUES ('B0051', '04-OCT-2018', 7, 'REFUNDED', 180.00, 'I0003', 'T0029');
INSERT INTO Booking VALUES ('B0052', '18-OCT-2018', 1, 'REFUNDED', 150.00, 'I0003', 'T0002');
INSERT INTO Booking VALUES ('B0053', '03-NOV-2018', 6, 'CANCELED', 200.00, 'I0004', 'T0030');
INSERT INTO Booking VALUES ('B0054', '10-NOV-2018', 7, 'REFUNDED', 100.00, 'I0008', 'T0020');
INSERT INTO Booking VALUES ('B0055', '23-NOV-2018', 6, 'PENDING PAYMENT', 150.00, 'I0007', 'T0028');
INSERT INTO Booking VALUES ('B0056', '03-DEC-2018', 5, 'PAID', 180.00, 'I0005', 'T0006');
INSERT INTO Booking VALUES ('B0057', '14-DEC-2018', 3, 'FAILED', 110.00, 'I0004', 'T0027');
INSERT INTO Booking VALUES ('B0058', '14-DEC-2018', 2, 'CANCELED', 160.00, 'I0009', 'T0013');
INSERT INTO Booking VALUES ('B0059', '22-DEC-2018', 4, 'FAILED', 170.00, 'I0009', 'T0002');
INSERT INTO Booking VALUES ('B0060', '23-DEC-2018', 6, 'REFUNDED', 110.00, 'I0003', 'T0007');
INSERT INTO Booking VALUES ('B0061', '23-DEC-2018', 2, 'PENDING PAYMENT', 200.00, 'I0007', 'T0014');
INSERT INTO Booking VALUES ('B0062', '07-JAN-2019', 6, 'REFUNDED', 170.00, 'I0005', 'T0004');
INSERT INTO Booking VALUES ('B0063', '12-JAN-2019', 2, 'REFUNDED', 180.00, 'I0004', 'T0017');
INSERT INTO Booking VALUES ('B0064', '20-JAN-2019', 7, 'CANCELED', 160.00, 'I0006', 'T0008');
INSERT INTO Booking VALUES ('B0065', '22-JAN-2019', 2, 'PENDING PAYMENT', 180.00, 'I0005', 'T0018');
INSERT INTO Booking VALUES ('B0066', '03-FEB-2019', 1, 'REFUNDED', 180.00, 'I0010', 'T0013');
INSERT INTO Booking VALUES ('B0067', '05-FEB-2019', 1, 'PAID', 180.00, 'I0008', 'T0019');
INSERT INTO Booking VALUES ('B0068', '13-FEB-2019', 4, 'CANCELED', 100.00, 'I0006', 'T0003');
INSERT INTO Booking VALUES ('B0069', '21-FEB-2019', 1, 'PAID', 120.00, 'I0010', 'T0003');
INSERT INTO Booking VALUES ('B0070', '06-MAR-2019', 7, 'REFUNDED', 140.00, 'I0003', 'T0014');
INSERT INTO Booking VALUES ('B0071', '19-MAR-2019', 5, 'PAID', 200.00, 'I0004', 'T0016');
INSERT INTO Booking VALUES ('B0072', '21-MAR-2019', 5, 'PAID', 170.00, 'I0007', 'T0003');
INSERT INTO Booking VALUES ('B0073', '23-MAR-2019', 2, 'PENDING PAYMENT', 130.00, 'I0005', 'T0004');
INSERT INTO Booking VALUES ('B0074', '05-APR-2019', 6, 'CANCELED', 190.00, 'I0001', 'T0002');
INSERT INTO Booking VALUES ('B0075', '15-APR-2019', 2, 'PENDING PAYMENT', 100.00, 'I0005', 'T0021');
INSERT INTO Booking VALUES ('B0076', '01-MAY-2019', 4, 'PENDING PAYMENT', 190.00, 'I0005', 'T0027');
INSERT INTO Booking VALUES ('B0077', '02-MAY-2019', 5, 'FAILED', 130.00, 'I0004', 'T0029');
INSERT INTO Booking VALUES ('B0078', '15-MAY-2019', 7, 'REFUNDED', 160.00, 'I0003', 'T0030');
INSERT INTO Booking VALUES ('B0079', '25-MAY-2019', 2, 'FAILED', 160.00, 'I0008', 'T0011');
INSERT INTO Booking VALUES ('B0080', '03-JUN-2019', 7, 'PAID', 130.00, 'I0009', 'T0014');
INSERT INTO Booking VALUES ('B0081', '10-JUN-2019', 6, 'FAILED', 190.00, 'I0008', 'T0016');
INSERT INTO Booking VALUES ('B0082', '10-JUN-2019', 3, 'PAID', 120.00, 'I0009', 'T0020');
INSERT INTO Booking VALUES ('B0083', '12-JUN-2019', 4, 'PAID', 180.00, 'I0007', 'T0004');
INSERT INTO Booking VALUES ('B0084', '22-JUN-2019', 4, 'PENDING PAYMENT', 190.00, 'I0001', 'T0005');
INSERT INTO Booking VALUES ('B0085', '27-JUN-2019', 5, 'FAILED', 190.00, 'I0002', 'T0002');
INSERT INTO Booking VALUES ('B0086', '02-JUL-2019', 1, 'PENDING PAYMENT', 140.00, 'I0005', 'T0001');
INSERT INTO Booking VALUES ('B0087', '07-JUL-2019', 4, 'FAILED', 110.00, 'I0010', 'T0003');
INSERT INTO Booking VALUES ('B0088', '20-JUL-2019', 4, 'CANCELED', 140.00, 'I0008', 'T0026');
